저장일시,페이지_설명,A_콘텐츠ID,A_콘텐츠명,A_메인카피,A_서브카피,A_이미지URL,A_노출수,A_클릭수,A_CTR,B_콘텐츠ID,B_콘텐츠명,B_메인카피,B_서브카피,B_이미지URL,B_노출수,B_클릭수,B_CTR,CTR_기간,위닝,메모
2026-06-16,몽벨,309,몽벨 브랜드데이,더울수록 가벼워야 하니까,"몽벨, 일상과 아웃도어를 잇는 기능성 웨어",https://bindcdn.co.kr/854549-2d898b1e-cc43-482f-888d-63f48b52ddb2.jpg,6531,170,2.6,333,몽벨,주말에도 멋은 챙기고 싶으니까,몽벨과 함께하는 여름 준비,https://bindcdn.co.kr/854549-a051f9ec-950d-4c8c-addd-53d2f8693dda.jpg,7289,207,2.84,최근 7일,B,
2026-06-16,아디다스 푸마,308,아디다스 푸마 브랜드데이,지금 가장 필요한 스포츠웨어,활동적인 라이프를 위한 아디다스·푸마 컬렉션,https://bindcdn.co.kr/854549-04788a47-868b-434a-a859-526bdab5e28d.jpg,7812,367,4.7,332,아디다스 푸마,매일 움직이는 습관을 위해,아디다스·푸마 데일리 스포츠웨어,https://bindcdn.co.kr/854549-d7c9e748-c66d-472d-b856-960679e62ddf.jpg,8601,332,3.86,최근 7일,A,
2026-06-16,오닐,328,오닐,가볍게 즐기는 여름의 자유,오닐과 함께하는 액티브 썸머,https://bindcdn.co.kr/854549-dbb5f89d-f853-42e0-aa28-2b7244049d8a.jpg,3729,85,2.28,331,오닐,함께 떠나는 여름의 순간,가족과 즐기는 오닐 썸머웨어,https://bindcdn.co.kr/854549-89f6ccc3-0c5e-48c6-b02e-8362893354c4.jpg,10767,348,3.23,최근 7일,B,
2026-06-16,집중 핑,294,집중 핑,,,https://bindcdn.co.kr/854549-bf759e73-3ac7-44fe-94a4-760b9656e3dc.jpg,20538,666,3.24,329,집중 핑,,,https://bindcdn.co.kr/854549-b0222ee1-9385-4aa1-9edb-0d4c330bf317.jpg,28326,1110,3.92,최근 7일,B,
